"filename", "language", "Dart", "comment", "blank", "total"
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/scan_to_search/scan_to_search_widgets/option_card.dart", "Dart", 44, 0, 1, 45
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/search_results/search_results.dart", "Dart", 51, 0, 7, 58
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/user_details/user_details.dart", "Dart", 158, 0, 6, 164
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/user_details_edit/user_details_edit.dart", "Dart", 151, 0, 7, 158
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/user_login/user_login.dart", "Dart", 136, 0, 9, 145
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/user_register/register.dart", "Dart", 114, 0, 7, 121
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/amount_row.dart", "Dart", 21, 0, 0, 21
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/appBar.dart", "Dart", 83, 0, 2, 85
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/appBarBackArrow.dart", "Dart", 18, 0, 1, 19
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/center_image.dart", "Dart", 27, 0, 1, 28
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/circular_progress_indicator.dart", "Dart", 16, 0, 1, 17
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/custom_badge.dart", "Dart", 41, 1, 1, 43
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/custom_drawer.dart", "Dart", 106, 0, 3, 109
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/map_details.dart", "Dart", 78, 0, 3, 81
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/map_dialog.dart", "Dart", 64, 0, 7, 71
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/product_card.dart", "Dart", 77, 0, 1, 78
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/products_list.dart", "Dart", 45, 0, 1, 46
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/search_bar.dart", "Dart", 51, 0, 1, 52
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/shopping_cart.dart", "Dart", 51, 1, 1, 53
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/show_dialog.dart", "Dart", 16, 0, 1, 17
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/show_snack.dart", "Dart", 11, 0, 1, 12
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/textfield.dart", "Dart", 21, 0, 1, 22
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/widgets/textfield_with_controller.dart", "Dart", 20, 0, 1, 21
"Total", "-", 6234, 45, 463, 6742
